no,which,ampm,borough,cause,date,fulldate,message,subject,time,train,,
31,NYC,PM,MANH,vandalized trains,5/15/2019,5/15/2019 6:42:20 PM,"There are considerable delays in northbound 6 train service after multiple incidents: a train with a door problem, a train that was vandalized, and a customer altercation.",manh 6 trains multiple incidents,6:42:20,6,,
41,NYC,AM,MANH,rail replacement,5/3/2019,5/3/2019 3:36:45 AM,"Southbound F trains are running on the A line from W 4 St-Wash Sq to Jay St-MetroTech while our crews replace rails at Broadway-Lafayette St.

Expect delays in A and F train service.",manh a and f trains rail replacement,3:36:45,"A, F",,
19,NYC,PM,MANH,brake activation,5/5/2019,5/5/2019 7:17:44 PM,"Some northbound D trains are running on the A and C line from W 4 St-Wash Sq to 59 St-Columbus Circle because a train's brakes were activated at 7 Av.

Expect delays in A, C, D, N and R train service.",manh a c d n and r trains activated brakes,7:17:44,"A, C, D, N, R",,
19,NYC,PM,MANH,brake activation,5/24/2019,5/24/2019 5:41:24 PM,Northbound A trains are delayed because a train's brakes were automatically activated at 181 St.,manh a trains brakes in emergency,5:41:24,A,,
14,NYC,AM,MANH,track maintenance,5/10/2019,5/10/2019 5:29:23 AM,"A trains are running in two sections because of temporary track maintenance.

Service will operate:

Between 207 St and 168 St.
Between 168 St and Far Rockaway or Ozone Park - Lefferts Blvd.

Transfer at 168 St to continue your trip.",manh a trains trains running in two sections,5:29:23,A,,
1,NYC,PM,MANH,mechanical problems,5/21/2019,5/21/2019 4:36:59 PM,"Southbound B and D trains are bypassing 155 St while we remove a train with mechanical problems from service at 145 St. 


For service to/from 155 St, consider using northbound B and D train service.",manh b and d trains bypassing 155 st,4:36:59,"B, D",,
28,NYC,PM,MANH,earlier incident,5/17/2019,5/17/2019 5:39:47 PM,You may experience longer-than-expected wait times for northbound C trains after earlier incidents in Manhattan.,manh c train multiple incidents,5:39:47,C,,
31,NYC,AM,MANH,nypd activity,5/28/2019,5/28/2019 12:40:44 AM,"Northbound D trains are running on the A line making local stops from W 4 St-Wash Sq to 59 St-Columbus Circle while NYPD conducts an investigation at 42 St-Bryant Park.

For service to/from bypassed stations, use F and M service or transfer to a southbound train at 59 St-Columbus Circle.",manh d train,12:40:44,D,,
32,NYC,AM,MANH,unsanitary train,5/11/2019,5/11/2019 12:11:02 AM,Uptown D train service has resumed with minor delays after we isolated a soiled train car at 125 St.,manh d trains delays soiled train car,12:11:02,D,,
14,NYC,AM,MANH,rail replacement,5/23/2019,5/23/2019 2:40:59 AM,"Bronx-bound D trains are stopping along the A line from West 4 St-Washington Square to 59 St-Columbus Circle while crews replace rails at 7 Av. 

For Bronx-bound D trains service, take a Coney Island-bound D train to West 4 St for a Bronx-bound D train stopping at the upper level local platform. 

At 7 Av, take a World Trade Center-bound E train to 42 St-Port Authority Bus Terminal for a Bronx-bound D train stopping at the uptown local platform.",manh d trains rail replacement,2:40:59,D,,
40,NYC,AM,MANH,rail replacement,5/17/2019,5/17/2019 4:58:33 AM,"Southbound D trains are running on the local track from 34 St-Herald Sq to West 4 St-Washington Sq while crews replace a rail at West 4 St. 

Expect delays in Stillwell Av bound D and F trains.",manh d trains rail replacement,4:58:33,D,,
48,NYC,AM,MANH,rail replacement,5/14/2019,5/14/2019 1:13:45 AM,"D trains are not running in both directions between Broadway-Lafayette St and DeKalb Av while our crews replace rails at Broadway-Lafayette St.

The last stop on southbound D trains will be 2 Av on the F line.

The last stop on northbound D trains will be Court St on the R line.

See a station agent for a free courtesy pass for continued bus or train service. 

For service between Manhattan and Brooklyn, use an N, Q,R or F train.",manh d trains rail replacement,1:13:45,D,,
32,NYC,AM,MANH,rail replacement,5/13/2019,5/13/2019 1:04:56 AM,Coney Island-bound D trains are running on the local track from 125 St to 59 St-Columbus Circle while crews replace rails at 72 St.,manh d trains rail replacement,1:04:56,D,,
3,NYC,AM,MANH,rail replacement,5/8/2019,5/8/2019 2:43:10 AM,Northbound D trains are running on the local track from Broadway-Lafayette to 34 St-Herald Sq while crews replace rails at W 4 St-Wash Sq.,manh d trains rail replacement,2:43:10,D,,
25,NYC,AM,MANH,rail replacement,5/9/2019,5/9/2019 2:38:44 AM,"Southbound E trains are running on the F line from Jackson Hts-Roosevelt Av to W 4 St-Wash Sq while crews replace rails at Lexington Av-53 St.

Expect delays in E and F train service.",manh e trains rail replacement,2:38:44,E,,
31,NYC,AM,MANH,brake activation,5/2/2019,5/2/2019 2:59:23 AM,Queens-bound F trains are delayed because a train's brakes were activated at 34 St-Herald Sq.,manh f trains activated brakes,2:59:23,F,,
39,NYC,AM,MANH,rail replacement,5/18/2019,5/18/2019 2:27:34 AM,F trains are delayed in both directions while we replace rails at West 4 St-Washington Sq.,manh f trains rail replacement,2:27:34,F,,
0,NYC,AM,MANH,rail replacement,5/2/2019,5/2/2019 1:54:41 AM,"Queens-bound F trains are running express from W 4 St-Wash Sq to 34 St-Herald Sq while our crews replace rails at 34 St-Herald Sq.

Expect delays in D and F train service at this time.",manh f trains rail replacement,1:54:41,F,,
!,NYC,PM,MANH,shopping cart on tracks,5/3/2019,5/3/2019 8:28:43 PM,Northbound F trains are delayed while we remove a shopping cart from the tracks that caused a train's brakes to activate at Avenue P.,manh f trains shopping cart on tracks,8:28:43,F,,
40,NYC,PM,MANH,unauthorized person,5/24/2019,5/24/2019 5:07:49 PM,"Southbound F trains are stopping along the C line from W 4 S-Wash Sq  to Jay St-MetroTech while NYPD responds to an unauthorized person on the tracks at Broadway-Lafayette.

Expect delays in A, C, F and M train service.",manh f trains unauthorized on the tracks,5:07:49,F,,
8,NYC,AM,MANH,rail replacement,5/11/2019,5/11/2019 1:28:43 AM,"There is no J train service between Broad St and Chambers St in both directions while we replace rails at Chambers St.

Expect delays in both directions.

For alternative service, use nearby 4 stations. Transfer between trains at Canal St.",manh j train rail replacement,1:28:43,J,,
7,NYC,AM,MANH,obstruction,5/9/2019,5/9/2019 6:21:47 AM,"Some 8 Av-bound L trains end at Bedford Av because of obstruction in the tunnel between Bedford Av and 1 Av.

Expect delays in both directions.",manh l train obstruction,6:21:47,L,,
39,NYC,AM,MANH,brake activation,5/10/2019,5/10/2019 6:24:35 AM,L trains are delayed in both directions because a train's brakes were activated at 6 Av.,manh l trains activated brakes,6:24:35,L,,
46,NYC,PM,MANH,network communication problem,5/20/2019,5/20/2019 3:47:21 PM,"There are service changes and delays because of network communications issues between 8 Av and 1 Av. 

Some 8 Av-bound L trains are ending at Bedford Av. 

Expect delays in L train service in both directions.",manh l trains network communication issues,3:47:21,L,,
13,NYC,AM,MANH,removed a train from service,5/14/2019,5/14/2019 5:45:46 AM,8 Av bound L trains are running with delays after we moved a train into the storage yard at Rockaway Parkway.,manh l trains train removed to storage yard,5:45:46,L,,
26,NYC,PM,MANH,congestion,5/17/2019,5/17/2019 6:59:30 PM,Some southbound N and Q trains are running on the R line from Canal St to DeKalb Av to keep trains moving around congestion in lower Manhattan.,manh n and q train train congestion,6:59:30,"N, Q",,
!,NYC,PM,MANH,rescue a dog,5/23/2019,5/23/2019 5:42:13 PM,Northbound N and Q trains are holding in stations while we attempt to rescue a dog from the tracks between 34 St-Herald Sq and Times Sq-42 St.,manh n and q trains dog on tracks,5:42:13,"N, Q",,
9,NYC,AM,MANH,rail replacement,5/28/2019,5/28/2019 1:20:39 AM,Some northbound N and Q trains are running express from Canal St to 34 St-Herald Sq while we replace rails near 28 St.,manh n and q trains rail replacement,1:20:39,"N, Q",,
5,NYC,AM,MANH,rail replacement,5/24/2019,5/24/2019 2:35:23 AM,Southbound N and Q trains are running express from 57 St-7Av to Times Sq-42 St while we replace rails at Times Sq-42 St.,manh n and q trains rail replacement,2:35:23,"N, Q",,
13,NYC,PM,MANH,unauthorized person,5/24/2019,5/24/2019 5:48:31 PM,"N, Q, R and W trains are delayed in both directions while NYPD responds to reports of unauthorized people on the tracks at 34 St-Herald Sq.",manh n q r and w trains unauthorized on the tracks,5:48:31,"N, Q, R, W",,
25,NYC,PM,MANH,brake activation,5/5/2019,5/5/2019 3:52:36 PM,"Southbound N and R trains are running on the express track from Times Sq-42 St to Canal St because a train's brakes were activated at 28 St.

For service to/from bypassed stations, consider taking a northbound N or R train.

Expect delays in N, Q and R trains",manh n q r trains activated brakes,3:52:36,"N, Q, R",,
2,NYC,PM,MANH,track inspection,5/9/2019,5/9/2019 12:47:50 PM,"Southbound N, R, and W trains are delayed while we perform track inspections in Manhattan.",manh n r and w trains track inspections,12:47:50,"N, R, W",,
21,NYC,AM,MANH,rail replacement,5/22/2019,5/22/2019 2:43:17 AM,Southbound N trains are delayed while we replace rails near Lexington Av/59 St.,manh n train replace rails,2:43:17,N,,
24,NYC,AM,MANH,rail replacement,5/3/2019,5/3/2019 1:58:22 AM,"Southbound Q trains are running on the R line from Canal St to Dekalb Av while we perform rail replacement at Canal St.

For Brooklyn-bound service, use the southbound R platform at Canal St.",manh q train rail replacement,1:58:22,Q,,
31,NYC,AM,MANH,unsanitary train,5/6/2019,5/6/2019 10:09:56 AM,Q trains are delayed in both directions while we remove an unsanitary car from service at 96 St.,manh q trains unsanitary car,10:09:56,Q,,
32,NYC,AM,MANH,move work equipment,5/4/2019,5/4/2019 2:54:53 AM,96 St-bound Q trains are holding in stations while our crews safely move work equipment at 57 St-7Av.,manh q trains work equipment,2:54:53,Q,,
26,NYC,PM,MANH,track repair,5/20/2019,5/20/2019 5:21:56 PM,R and W trains are running with delays in both directions while our crews repair a track south of Canal St.,manh r and w trains track repair,5:21:56,"R, W",,
27,NYC,PM,MANH,track repair,5/20/2019,5/20/2019 4:05:01 PM,R and W trains are running with delays in both directions while our crews repair a track south of Canal St.,manh r and w trains track repair,4:05:01,"R, W",,
20,NYC,PM,,network communication problem,5/14/2019,5/14/2019 6:03:05 PM,7 trains are delayed in both directions while we work to assist two trains with connectivity issues in Manhattan and Queens.,manh/qns 7 trains network communication issue,6:03:05,7,,
21,NYC,AM,,network communication problem,5/18/2019,5/18/2019 3:23:24 AM,"7 trains are holding in stations in both directions in Manhattan and Queens because of a network communication problem. 

Customers are advised to use nearby E F and N train for service between Queens and Manhattan.

For continuing bus and subway service see a station agent for a courtesy pass.",manh/qns 7 trains network communication problem,3:23:24,7,,
!,NYC,AM,,pit stop,5/17/2019,5/17/2019 8:42:35 AM,"There are service changes in A C and E train service while our crew takes a pit stop.

C trains are running express from Canal St to 59 St-Columbus Circle.

Northbound E trains are running on the F line from W 4 St-Wash Sq to Jackson Heights-Roosevelt Av.

Expect delays in A, C, E, F and M service.",manh/qns a c e f and m trains pit stop,8:42:35,"A, C, E, F, M",,
38,NYC,AM,,rail replacement,5/3/2019,5/3/2019 3:50:14 AM,"Northbound Q trains are running on the R line from DeKalb Av to Canal St while our crews replace rails at Canal St.

Northbound Q trains will be stopping on the upper-level R platform at Canal St.

Expect delays in N, Q and R train service at this time.",q and r trains rail replacement,3:50:14,"Q, R",,
29,NYC,PM,QNS,mechanical problems,5/10/2019,5/10/2019 6:15:20 PM,"7 trains have service changes and delays in both directions because of a train with mechanical problems at Vernon Blvd-Jackson Av.

The last stop for some Main St-bound 7 trains will be Hunters Point Av or Queensboro Plaza.

Consider transferring to an N or W trains at Queensboro Plaza for continuing service into Manhattan.",qns 7,6:15:20,7,,
9,NYC,AM,QNS,track inspection,5/7/2019,5/7/2019 11:46:44 AM,Flushing-Main St-bound 7 trains are arriving on the middle platform at Mets-Willets Point while we perform a track inspection on the local track.,qns 7 train track inspection,11:46:44,7,,
39,NYC,AM,QNS,brake activation,5/21/2019,5/21/2019 2:45:32 AM,Flushing-bound 7 trains are delayed while crews investigate a train's emergency brakes that activated at 52 St.,qns 7 trains brake's activated,2:45:32,7,,
11,NYC,PM,QNS,brake activation,5/10/2019,5/10/2019 5:24:06 PM,"34 St-bound 7 trains are getting back on schedule after a train's brakes were automatically activated near Queensboro Plaza. 

You may experience longer-than-expected wait times for a 7 train.",qns 7 trains brakes in emergency,5:24:06,7,,
23,NYC,PM,QNS,bridge,5/16/2019,5/16/2019 3:54:07 PM,A trains are running with delays in both directions after the South Channel Bridge was opened for marine traffic.,qns a trains bridge open,3:54:07,A,,
30,NYC,AM,QNS,bridge,5/29/2019,5/29/2019 5:12:35 AM,Northbound A trains are proceeding with delays in Queens after the South Channel Bridge opened for marine traffic.,qns a trains south channel bridge,5:12:35,A,,
7,NYC,AM,QNS,rail replacement,5/10/2019,5/10/2019 2:14:49 AM,Queens-bound E trains are making express stops from Queens Plaza to Forest Hills-71 Av because of rail replacement work at Jackson Hts Roosevelt Av.,qns e and f trains rail replacement,2:14:49,"E, F",,
5,NYC,AM,QNS,rail replacement,5/9/2019,5/9/2019 3:16:16 AM,"Northbound E trains are running on the F line from W 4 St-Wash Sq to 36 St (QNS) while our crews replace rails at Court Sq-23 St.

Expect delays in E and F train service.",qns e and f trains rail replacement,3:16:16,"E, F",,
29,NYC,AM,QNS,rail replacement,5/7/2019,5/7/2019 1:48:34 AM,Southbound E and F trains are delayed while crews replace rails at 67 Av.,qns e and f trains rail replacement,1:48:34,"E, F",,
23,NYC,PM,QNS,disruptive passenger,5/15/2019,5/15/2019 11:56:00 PM,Northbound E and R trains are running express from Jackson Hts-Roosevelt Av to Forest Hills-71 Av because of a disruptive customer at Forest Hills-71 Av.,qns e and r trains disruptive customer,11:56:00,"E, R",,
20,NYC,PM,QNS,signal work,5/17/2019,5/17/2019 8:45:50 PM,"You may experience longer-than-expected wait times for northbound E, F, M, or R trains after a crew performed signal work at Forest Hills-71 Av.",qns e f m and r trains signal work,8:45:50,"E, F, M, R",,
46,NYC,AM,QNS,ems help,5/25/2019,5/25/2019 4:18:27 AM,World Trade Center-bound E trains are delayed while we get EMS assistance for a customer at Queens Plaza.,qns e train ems,4:18:27,E,,
41,NYC,AM,QNS,unauthorized person,5/28/2019,5/28/2019 5:27:24 AM,Jamaica-bound E trains are delayed because of an unauthorized person on the tracks at Jamaica-Van Wyck.,qns e trains person on tracks,5:27:24,E,,
11,NYC,PM,QNS,removed a train from service,5/8/2019,5/8/2019 9:28:49 PM,Northbound F and 71 Av bound M trains are running with delays while we remove trains from service at Roosevelt Island and Queens Plaza.,qns f and m trains trains removed from service,9:28:49,"F, M",,
!,NYC,AM,QNS,raccoon,3/22/2019,3/22/2019 5:21:27 AM,Manhattan-bound A trains are proceeding  with delays after we moved a train with it brakes activated caused by a raccoon on the tracks near Broad Channel.,qns a-trains brakes activated,5:21:27,,,
31,NYC,AM,QNS,brake activation,6/13/2019,6/13/2019 10:41:59 AM,Southbound N trains are running express from Astoria-Ditmars Blvd to Queensboro Plaza because a train's brakes were automatically activated at Astoria-Ditmars Blvd.,qns n trains brakes activated,10:41:59,N,,
14,NYC,PM,QNS,brake activation,6/3/2019,6/3/2019 3:57:38 PM,"Northbound N, R and W trains are proceeding with delays after we moved a train that had its brakes activated at Queensboro Plaza.",qns n r and w trains brakes activated,3:57:38,"N, R, W",,
37,NYC,AM,QNS,brake activation,6/3/2019,6/3/2019 8:19:32 AM,Jamaica Center-bound J trains are delayed because a train's brakes were automatically activated at Sutphin Blvd/Archer Av-JFK Airport.,qns j trains brakes activated,8:19:32,J,,
15,NYC,PM,QNS,brake activation,6/12/2019,6/12/2019 9:45:00 PM,Queens-bound F trains are delayed because a train's brakes were activated at 21 St-Queensbridge.,qns f trains train with brakes activated,9:45:00,F,,
43,NYC,PM,QNS,brake activation,6/17/2019,6/17/2019 6:58:07 PM,"Southbound F trains are running on the E line from Jackson Hts-Roosevelt Av to 5 Av-53 St because a train's brakes were activated at 21 St-Queensbridge.

For service to/from bypassed stations, take a northbound F train.

Expect delays in E, F and M train service.",qns f trains brakes activated,6:58:07,F,,
45,NYC,PM,QNS,brake activation,6/27/2019,6/27/2019 8:49:35 PM,Northbound E trains are delayed because a train's brakes were activated at Sutphin Blvd-Archer Av JFK Airport.,qns e trains brakes activated,8:49:35,E,,
48,NYC,PM,QNS,brake activation,6/20/2019,6/20/2019 4:23:59 PM,Southbound E trains are holding in stations in Queens because a train's brakes were activated at Sutphin Blvd/Archer Av.,qns e train brakes activated,4:23:59,E,,
16,NYC,PM,QNS,brake activation,6/9/2019,6/9/2019 4:51:31 PM,"There are service changes and delays in E, F and R train service because a train's brakes were activated near Forest Hills-71 Av.

Some southbound E trains are running on the local track from Forest Hills-71 Av to Queens Plaza.

Some southbound F trains are running on the local track from Forest Hills-71 Av to 36 St (QNS).

There is limited R train service in Queens.",qns e f and r trains brakes activated,4:51:31,"E, F, R",,
33,NYC,AM,QNS,brake activation,6/29/2019,6/29/2019 11:11:05 AM,Southbound E and F trains are delayed because a train's brakes were activated at Forest Hills-71 Av.,qns e and f trains brakes activated,11:11:05,"E, F",,
17,NYC,AM,QNS,brake activation,6/3/2019,6/3/2019 3:58:28 AM,Southbound E and F trains are delayed because a train's emergency brakes were activated at Jackson Hts-Roosevelt Av.,qns e and f trains brakes activated,3:58:28,"E, F",,
44,NYC,AM,QNS,brake activation,6/23/2019,6/23/2019 2:29:11 AM,Far Rockaway-bound A trains are proceeding with delays after we moved a train that had it brakes activated at 80 St.,qns a trains brakes activated,2:29:11,A,,
21,NYC,PM,QNS,brake activation,6/30/2019,6/30/2019 10:56:22 PM,"Manhattan bound 7 trains are running on the express track from 74 St-Broadway to Queensboro Plaza because a train's brakes activated at 61 St.

For service to/from bypassed stations, take a Flushing bound 7 train.",qns 7 trains brakes activated.,10:56:22,7,,
1,NYC,PM,QNS,brake activation,6/25/2019,6/25/2019 6:00:43 PM,There is no Main St-bound 7 express train service because a train's brakes were activated at Mets-Willets Point.,qns 7 trains brakes activated,6:00:43,7,,
28,NYC,AM,QNS,brake activation,6/25/2019,6/25/2019 11:36:06 AM,Main St-bound 7 trains are delayed because a train's brakes were automatically activated at Court Sq.,qns 7 trains brakes activated,11:36:06,7,,
34,NYC,PM,QNS,brake activation,6/24/2019,6/24/2019 6:36:42 PM,"There is no Main St-bound 7 express service past 74 St-Broadway because a train's brakes were activated at 111 St.

Expect delays in both directions.",qns 7 trains brakes activated,6:36:42,7,,
46,NYC,PM,QNS,brake activation,6/20/2019,6/20/2019 10:20:58 PM,"Some 34 St-bound 7 trains are ending at Queensboro Plaza because a train brakes were activated at Hunters Point Av. 
Expect delays in both directions.
For service between Queens and Manhattan, consider taking E, F, N and R train service.",qns 7 trains brakes activated,10:20:58,7,,
35,NYC,AM,QNS,brake activation,6/20/2019,6/20/2019 6:52:58 AM,Main St-bound 7 trains are delayed because a train's brakes were automatically activated at Court Sq.,qns 7 trains brakes activated,6:52:58,7,,
20,NYC,PM,QNS,brake activation,6/14/2019,6/14/2019 1:51:09 PM,Hudson Yards-bound 7 trains are running express from 74 St-Broadway to Queensboro Plaza because a train's brakes were automatically activated by debris on the tracks at 90 St-Elmhurst.,qns 7 trains brakes activated,1:51:09,7,,
18,NYC,PM,QNS,brake activation,6/25/2019,6/25/2019 5:21:59 PM,There is no Main St-bound 7 express train service because a train's brakes were activated at Mets-Willets Point.,qns 7 express trains brakes activated,5:21:59,7,,
17,NYC,PM,QNS,brake activation,6/7/2019,6/7/2019 4:03:35 PM,Main St-bound 7 express service is running on the local track from 74 St-Broadway to Main St because a train's brakes were activated near 111 St.,qns 7 express train brakes activated,4:03:35,7,,
16,NYC,AM,MANH,brake activation,6/28/2019,6/28/2019 9:45:45 AM,You may experience delays in southbound R and W service because N and Q trains are being rerouted between Manhattan and Brooklyn while we investigate what activated a train's brakes.,manh r and w trains brakes activated,9:45:45,"R, W",,
15,NYC,PM,MANH,brake activation,6/25/2019,6/25/2019 7:39:34 PM,"Southbound R trains will run on the Q line from Canal St to DeKalb Av because a train's brakes were activated at Rector St.

Whitehall-bound W trains will end at Canal St.

For service to/from bypassed stations, please take a northbound R train.",manh r and w trains brakes activated,7:39:34,"R, W",,
46,NYC,AM,MANH,brake activation,6/7/2019,6/7/2019 7:15:47 AM,Southbound R and W trains are running express from 34 St-Herald Sq to Canal St because of a train's brakes were activated at Prince St.,manh r and w trains brakes activated,7:15:47,"R, W",,
38,NYC,PM,MANH,brake activation,6/24/2019,6/24/2019 3:36:54 PM,"Southbound R trains will run on the Q line from Canal St to DeKalb Av because a train's brakes were activated at Rector St.

Whitehall-bound W trains will end at Canal St. 

For service to/from bypassed stations, please take a northbound R train. 

Expect delays in N, Q, R and W train service.",manh r and q trains brakes activated,3:36:54,"R, Q",,
29,NYC,AM,MANH,brake activation,6/8/2019,6/8/2019 3:41:53 AM,Southbound Q trains are running with delays because a train's brakes activated at Lexington Av/63 St.,manh q trains brakes activated,3:41:53,Q,,
49,NYC,PM,MANH,brake activation,6/30/2019,6/30/2019 9:36:22 PM,Northbound N trains are delayed because a train's brakes were activated at 86 St.,manh n trains brakes activated,9:36:22,N,,
16,NYC,AM,MANH,brake activation,6/3/2019,6/3/2019 1:01:44 AM,Coney Island-bound N trains are delayed because a train's emergency brakes were activated at 34 St-Herald Sq.,manh n trains brakes activated,1:01:44,N,,
22,NYC,AM,MANH,brake activation,6/3/2019,6/3/2019 6:44:54 AM,"Southbound N, R and W trains are delayed because a train's brakes were automatically activated at Lexington Av/59 St.",manh n r and w trains brakes activated,6:44:54,"N, R, W",,
17,NYC,AM,MANH,brake activation,6/28/2019,6/28/2019 9:42:10 AM,"Southbound N and Q trains are running on the R line from Canal St to DeKalb Av because a train's brakes were activated near Canal St.

Expect delays in N, Q and R service.",manh n and q trains brakes activated,9:42:10,"N, Q",,
16,NYC,PM,MANH,brake activation,6/19/2019,6/19/2019 12:15:03 PM,Northbound N and Q trains are running local from Canal St to 34 St-Herald Sq because a train's brakes were activated at 14 St-Union Sq.,manh n and q trains brakes activated,12:15:03,"N, Q",,
11,NYC,PM,MANH,brake activation,6/18/2019,6/18/2019 4:08:26 PM,Southbound N and Q trains are running on the local track from 34 St-Herald Sq to Canal St because a train's brakes were activated at 14 St-Union Sq.,manh n and q trains brakes activated,4:08:26,"N, Q",,
36,NYC,PM,MANH,brake activation,6/18/2019,6/18/2019 6:42:46 PM,8 Av-bound L trains are delayed because a train's brakes were activated between Bedford Av and 1 Av.,manh l train brakes activated,6:42:46,L,,
22,NYC,AM,MANH,brake activation,6/29/2019,6/29/2019 5:23:47 AM,Coney Island-bound F trains are delayed because a train's brakes were activated at 57 St.,manh f trains brakes activated,5:23:47,F,,
34,NYC,AM,MANH,brake activation,6/25/2019,6/25/2019 8:19:46 AM,Southbound F and M trains are delayed because a train's brakes were activated at W 4 St-Wash Sq.,manh f and m trains brakes activated,8:19:46,"F, M",,
42,NYC,PM,MANH,brake activation,6/21/2019,6/21/2019 12:38:15 PM,Southbound F and M trains are delayed because a train's brakes were activated at W 4 St-Wash Sq.,manh f and m trains brakes activated,12:38:15,"F, M",,
1,NYC,PM,MANH,brake activation,6/1/2019,6/1/2019 11:45:58 PM,179 St-bound F and 96 St-bound M trains are delayed because a train's brakes were activated at Broadway-Lafayette St.,manh f and m trains brakes activated,11:45:58,"F, M",,
12,NYC,AM,MANH,brake activation,6/22/2019,6/22/2019 9:36:56 AM,Northbound F and M trains are proceeding with delays after a train's brakes were activated at Broadway Lafayette St.,manh f and m trains brake activation,9:36:56,"F, M",,
48,NYC,AM,MANH,brake activation,6/4/2019,6/4/2019 10:39:51 AM,"Southbound C trains are proceeding with delays after we moved a train that had its brakes activated at 168 St.

Expect longer than normal wait times for southbound C service while we get trains back on schedule.",manh c trains train with brakes activated,10:39:51,C,,
41,NYC,PM,MANH,brake activation,6/13/2019,6/13/2019 12:22:52 PM,You may experience longer-than-expected wait times for C train service after an earlier train's brakes activated at Canal St.,manh c train brakes activated,12:22:52,C,,
7,NYC,PM,MANH,brake activation,6/10/2019,6/10/2019 1:52:18 PM,Southbound C trains are delayed because a train's brakes were activated near 168 St.,manh c train brakes activated,1:52:18,C,,
8,NYC,AM,MANH,brake activation,6/13/2019,6/13/2019 9:41:34 AM,Southbound C and E trains are delayed because a train's brakes were activated while leaving Canal St.,manh c and e trains brakes activated,9:41:34,"C, E",,
29,NYC,PM,MANH,brake activation,6/17/2019,6/17/2019 1:41:16 PM,Northbound B and D trains are delayed while our crews investigate a train that had its brakes automatically activated at W 4 St.,manh b/d trains brakes activated,1:41:16,,,
0,NYC,PM,MANH,brake activation,6/25/2019,6/25/2019 1:20:22 PM,Northbound B and D trains are delayed because a train's brakes were activated near 47-50 Sts Rockefeller Center.,manh b and d trains brakes activated,1:20:22,"B, D",,
35,NYC,PM,MANH,brake activation,6/11/2019,6/11/2019 7:27:52 PM,"Northbound B and D trains are running on the C line from W 4 St-Washington Sq to 59 St-Columbus Circle because a train's brakes were activated at 42 St-Bryant Park. 

Expect delays in B, C, D and E service.",manh b and d trains brakes activated,7:27:52,"B, D",,
10,NYC,AM,MANH,brake activation,6/5/2019,6/5/2019 10:53:09 AM,"Southbound B and D trains are running local from W 4 St-Washington Sq to 34 St-Herald Sq because a train's brakes were automatically activated at 34 St-Herald Sq. 

Expect delays on B, D, F and M trains.",manh b and d trains brakes activated,10:53:09,"B, D",,
39,NYC,PM,MANH,brake activation,6/28/2019,6/28/2019 8:38:11 PM,You may experience longer-than-expected wait times for northbound B and C train service after an earlier train's brakes were activated at 110 St.,manh b and c trains brakes activated,8:38:11,"B, C",,
30,NYC,AM,MANH,brake activation,6/24/2019,6/24/2019 9:42:21 AM,Southbound B and C trains are delayed because a train's brakes were activated at 96 St.,manh b and c trains brakes activated,9:42:21,"B, C",,
3,NYC,PM,MANH,brake activation,6/21/2019,6/21/2019 6:34:11 PM,Southbound B and C trains getting back on schedule after an earlier train's brakes were activated at 103 St.,manh b and c trains brakes activated,6:34:11,"B, C",,
6,NYC,AM,MANH,brake activation,6/4/2019,6/4/2019 10:31:20 AM,"Northbound B and C trains are running express from 59 St-Columbus Circle to 125 St because a train's brakes were automatically activated at 125 St.

Expect delays on A, B, C and D trains.",manh b and c trains brakes activated,10:31:20,"B, C",,
30,NYC,PM,MANH,brake activation,6/7/2019,6/7/2019 10:21:05 PM,A trains are delayed in both directions because of a train's brakes were activated at 181 St.,manh a trains brakes activated.,10:21:05,A,,
14,NYC,PM,MANH,brake activation,6/28/2019,6/28/2019 11:17:06 PM,Uptown A trains are delayed because a train's brakes were activated at Fulton St.,manh a trains brakes activated,11:17:06,A,,
33,NYC,PM,MANH,brake activation,6/7/2019,6/7/2019 4:35:59 PM,Southbound A trains are delayed because a train's brakes were activated near 168 St.,manh a train brakes activated,4:35:59,A,,
22,NYC,AM,MANH,brake activation,6/12/2019,6/12/2019 3:40:57 AM,There are delays in downtown A and E trains because a train's brakes were activated at Canal St.,manh a and e trains brakes activated,3:40:57,"A, E",,
28,NYC,AM,MANH,brake activation,6/24/2019,6/24/2019 9:47:53 AM,You may experience delays in southbound A and D service because B and C trains are running on the express track as we investigate what activated a train's brakes.,manh a and d trains brakes activated,9:47:53,"A, D",,
15,NYC,AM,MANH,brake activation,6/24/2019,6/24/2019 10:10:48 AM,Southbound A and C trains are delayed while our crews investigate a train that had its brakes automatically activated at 42 St-Port Authority express tracks.,manh a and c trains brakes activated,10:10:48,"A, C",,
6,NYC,AM,MANH,brake activation,6/9/2019,6/9/2019 8:21:12 AM,Northbound A and C trains are delayed because a signal problem activated a train's brakes near Jay St-MetroTech.,manh a and c trains brakes activated,8:21:12,"A, C",,
27,NYC,PM,MANH,brake activation,6/7/2019,6/7/2019 8:44:15 PM,Southbound A and C trains are holding in stations in Upper Manhattan because a train's brakes were activated at 168 St.,manh a and c trains brakes activated,8:44:15,"A, C",,
34,NYC,AM,MANH,brake activation,6/19/2019,6/19/2019 9:16:05 AM,"Northbound 6 trains are running express from Brooklyn Bridge-City Hall to 14 St-Union Sq because a train's brakes were automatically activated at Spring St.

Expect delays on 4, 5 and 6 trains.",manh 6 trains brakes activated,9:16:05,6,,
